"Atendimento";"Placa";"Motivo OS"
"6476286";"SIJ5B63";"CORRETIVA"
"6476285";"TDL7D31";"SINISTRO"
"6476284";"PVR3E34";"RECUPERADO ROUBO"
"6476283";"EHN2I75";"CORRETIVA"
"6476282";"SSS9F02";"PREVENTIVA"
"6476281";"PXS0F49";"PREVENTIVA"
"6476280";"SSS9F02";""
"6476279";"EJW0I11";"CORRETIVA"
"6476278";"SYH8C01";"CORRETIVA"
"6476277";"SIG0G35";"PREVENTIVA"
"6476276";"QMV4F71";"PREVENTIVA"
"6476275";"PVR1F05";"CORRETIVA"
"6476274";"RUC4A51";"PREVENTIVA"
"6476273";"FMH6H31";"PREVENTIVA"
"6476272";"GJL6J71";"PREVENTIVA"
"6476271";"RMJ6J19";"CORRETIVA"
"6476270";"FKH1F52";"CORRETIVA"
"6476269";"TDL2D11";"SINISTRO"
"6476268";"RNK7A80";""
"6476267";"FCH7E33";"PREVENTIVA"
"6476266";"SSW7D05";""
"6476265";"TLD7H05";"CORRETIVA"
"6476264";"TDH3H31";"CORRETIVA"
"6476263";"SSW7D05";"PREVENTIVA"
"6476262";"GAK2J24";"CORRETIVA"
"6476261";"SIE8D37";"PREVENTIVA"
"6476260";"EZA2G81";"RASTREADOR RETIRADA"
"6476259";"TJF8A54";"CORRETIVA"
"6476258";"SSX8B02";"PREVENTIVA"
"6476257";"TJF5A30";"GUINCHO"
"6476256";"TCN4D86";"PREVENTIVA"
"6476255";"RUC5E88";""
"6476254";"SYP1F31";"CORRETIVA"
"6476253";"SJG1A51";"PREVENTIVA"
"6476252";"EZA2G81";"DESMOBILIZAÇÃO"
"6476251";"RVX2E47";"PREVENTIVA"
"6476250";"EGX7I72";"SINISTRO"
"6476249";"FQM2C21";"PREVENTIVA"
"6476248";"RTC5E07";"CORRETIVA"
"6476247";"SVL8B40";"GUINCHO"
"6476246";"TKO0D90";"SINISTRO"
"6476245";"TKJ5B80";""
"6476244";"RHH5H50";"VISTORIA DE DESMOBILIZAÇÃO"
"6476243";"RHH5H50";"RASTREADOR RETIRADA"
"6476242";"RNK4H27";"PREVENTIVA"
"6476241";"RHH5H50";"DESMOBILIZAÇÃO"
"6476240";"SIU2C34";"RASTREADOR RETIRADA"
"6476239";"SVT4H36";"PREVENTIVA"
"6476238";"SUL1I50";"CORRETIVA"
"6476237";"SIU2C34";"DESMOBILIZAÇÃO"
"6476236";"ELB3F71";"RASTREADOR RETIRADA"
"6476235";"STB7D46";"CORRETIVA"
"6476234";"ELB3F71";"DESMOBILIZAÇÃO"
"6476233";"SUF0H62";""
"6476232";"STK2H42";"SINISTRO"
"6476231";"FPS6B44";"PREVENTIVA"
"6476230";"SSW0J32";"PREVENTIVA"
"6476229";"RMT3B90";"PREVENTIVA"
"6476228";"QMY6B31";"CORRETIVA"
"6476227";"SWI4J16";"PREVENTIVA"
"6476226";"TDK5A03";"SINISTRO"
"6476225";"STH0H95";""
"6476224";"SIY2E90";"CORRETIVA"
"6476223";"GDC9B51";""
"6476222";"ERY7J55";"PREVENTIVA"
"6476221";"STT1A91";"PREVENTIVA"
"6476220";"EFM6F24";"RASTREADOR RETIRADA"
"6476219";"PVR1E76";"CORRETIVA"
"6476218";"SSX0H72";""
"6476217";"EFM6F24";"DESMOBILIZAÇÃO"
"6476216";"ENU9H94";""
"6476215";"CUW3A89";"CORRETIVA"
"6476214";"PVR3C61";"CORRETIVA"
"6476213";"FWY1D92";"PREVENTIVA"
"6476212";"SUY9E05";""
"6476211";"RUW9G51";"CORRETIVA"
"6476210";"FPS6B44";""
"6476209";"STF4B00";"PREVENTIVA"
"6476208";"STU3I46";"PREVENTIVA"
"6476207";"SIU2C32";"RASTREADOR RETIRADA"
"6476206";"STK4D75";"PREVENTIVA"
"6476205";"SIU2C32";"DESMOBILIZAÇÃO"
"6476204";"RNF5C95";"CORRETIVA"
"6476203";"RTO1I52";"CORRETIVA"
"6476202";"SYT6I49";"PREVENTIVA"
"6476201";"RND6E60";"GUINCHO"
"6476200";"SUY6F91";"PREVENTIVA"
"6476199";"SSV3H58";""
"6476198";"SIF8C46";"CORRETIVA"
"6476197";"SIY2E90";"CORRETIVA"
"6476196";"SIY2E90";"CORRETIVA"
"6476195";"SIY2E90";"CORRETIVA"
"6476194";"SIJ2A56";"PREVENTIVA"
"6476193";"SSW7D05";""
"6476192";"EUC2D41";"PREVENTIVA"
"6476191";"ELK4F12";"CORRETIVA"
"6476190";"STL5D40";"PREVENTIVA"
"6476189";"RTK5G27";"DESMOBILIZAÇÃO"
"6476188";"SHG5F10";"CORRETIVA"
"6476187";"STX0J71";"PREVENTIVA"
"6476186";"SUH3J93";"PREVENTIVA"
"6476185";"TIS5G14";""
"6476184";"TLD7H05";""
"6476183";"STL5D40";"PREVENTIVA"
"6476182";"STQ6G21";"PREVENTIVA"
"6476181";"RVU3B43";"GUINCHO"
"6476180";"SJD8C96";""
"6476179";"FXC7J11";"CORRETIVA"
"6476178";"RNN6E96";"PREVENTIVA"
"6476177";"EZB6D24";"PREVENTIVA"
"6476176";"TCD3F45";"CORRETIVA"
"6476175";"QMV4I28";"PREVENTIVA"
"6476174";"SUU9I22";"CORRETIVA"
"6476173";"RMP7B53";"RASTREADOR RETIRADA"
"6476172";"SIE8D37";"PREVENTIVA"
"6476171";"QMV4F88";"PREVENTIVA"
"6476170";"SIU2C47";"RASTREADOR RETIRADA"
"6476169";"SHH1B99";"PREVENTIVA"
"6476168";"SIZ0H49";"CORRETIVA"
"6476167";"TCC2J48";"PREVENTIVA"
"6476166";"SVQ8C81";"CORRETIVA"
"6476165";"SUK3B44";""
"6476164";"SIW0I83";"PREVENTIVA"
"6476163";"SIU2C47";"DESMOBILIZAÇÃO"
"6476162";"SIY2E90";"CORRETIVA"
"6476161";"FXB2C83";"PREVENTIVA"
"6476160";"SIE8D37";"PREVENTIVA"
"6476159";"RVG0G13";"SINISTRO"
"6476158";"TLM5J81";""
"6476157";"STR5C73";""
"6476156";"SYE0H19";""
"6476155";"STM0C11";"PREVENTIVA"
"6476154";"TCC2J53";"PREVENTIVA"
"6476153";"SJE0D53";"PREVENTIVA"
"6476152";"SVN1B66";"PREVENTIVA"
"6476151";"OPP4H05";"CORRETIVA"
"6476150";"RVG0G13";"CORRETIVA"
"6476149";"TCC3F60";"PREVENTIVA"
"6476148";"TCI1B33";"CORRETIVA"
"6476147";"EQP4F12";"CORRETIVA"
"6476146";"SVK7J40";""
"6476145";"STI3F91";"CORRETIVA"
"6476144";"SVU4E11";"CORRETIVA"
"6476143";"STM5I50";"CORRETIVA"
"6476142";"SHG2G74";"CORRETIVA"
"6476141";"SIG8I79";"CORRETIVA"
"6476140";"STG6D48";""
"6476139";"SIF8F77";"PREVENTIVA"
"6476138";"GEY2H73";"PREVENTIVA"
"6476137";"SYP8B89";"PREVENTIVA"
"6476136";"RTE3G97";"SINISTRO"
"6476135";"RTK5G27";"RASTREADOR RETIRADA"
"6476134";"TJA9B71";"SINISTRO"
"6476133";"EOF7F35";"CORRETIVA"
"6476132";"PVR4D99";"CORRETIVA"
"6476131";"SYW9J36";"CORRETIVA"
"6476130";"SYN3D02";"PREVENTIVA"
"6476129";"STJ2G91";"CORRETIVA"
"6476128";"RFA1J18";"RASTREADOR RETIRADA"
"6476127";"SVN2G00";"CORRETIVA"
"6476126";"STB6H79";"CORRETIVA"
"6476125";"RFA1J18";"DESMOBILIZAÇÃO"
"6476124";"SIU2F34";""
"6476123";"TKB0H83";"CORRETIVA"
"6476122";"SHE6H03";"DESMOBILIZAÇÃO"
"6476121";"SYE1F23";"CORRETIVA"
"6476120";"FPD6E34";""
"6476119";"RVW2H43";"CORRETIVA"
"6476118";"SWE4G13";"PREVENTIVA"
"6476117";"OPP4H43";"PREVENTIVA"
"6476116";"SUE1D51";"PREVENTIVA"
"6476115";"ELY8B95";"CORRETIVA"
"6476114";"QMV4H88";"CORRETIVA"
"6476113";"TDB0A66";""
"6476112";"RVJ2D09";"PREVENTIVA"
"6476111";"STH3J11";"PREVENTIVA"
"6476110";"FYX7E13";"PREVENTIVA"
"6476109";"SIA3H11";"CORRETIVA"
"6476108";"TJU1A15";"SINISTRO"
"6476107";"EKG1E24";"CORRETIVA"
"6476106";"EIB3G61";"PREVENTIVA"
"6476105";"FKE5F51";"PREVENTIVA"
"6476104";"SHH2G86";"GUINCHO"
"6476103";"FIN2I63";"GUINCHO"
"6476102";"GIH1I45";"PREVENTIVA"
"6476101";"STT8E12";"PREVENTIVA"
"6476100";"SHO3F58";"CORRETIVA"
"6476099";"RUB2B19";"CORRETIVA"
"6476098";"SYY7I16";"PREVENTIVA"
"6476097";"SUE5B41";"PREVENTIVA"
"6476096";"RFS0A06";"CORRETIVA"
"6476095";"RVQ0C82";"PREVENTIVA"
"6476094";"TDB8G10";"PREVENTIVA"
"6476093";"SYE0J89";"PREVENTIVA"
"6476092";"SVE7E92";"PREVENTIVA"
"6476091";"STT8E12";"PREVENTIVA"
"6476090";"SJD8C96";""
"6476089";"SSZ2E46";"PREVENTIVA"
"6476088";"RVW2G71";"CORRETIVA"
"6476087";"STD2B72";""
"6476086";"ELK4F12";"PREVENTIVA"
"6476085";"SVI1F60";"PREVENTIVA"
"6476084";"FPD6E34";"CORRETIVA"
"6476083";"SHC0A97";"CORRETIVA"
"6476082";"GDC9B51";"PREVENTIVA"
"6476081";"GIM4D02";""
"6476080";"SYA0B72";"CORRETIVA"
"6476079";"GJV2D32";""
"6476078";"SVM0J53";"CORRETIVA"
"6476077";"SUK1F09";"PREVENTIVA"
"6476076";"RNH7I83";"PREVENTIVA"
"6476075";"SIX5A22";"GUINCHO"
"6476074";"SUM3G24";""
"6476073";"SYE0J89";"PREVENTIVA"
"6476072";"FPK3E22";""
"6476071";"RMF8B79";"SINISTRO"
"6476070";"RVF5D87";""
"6476069";"SIG0C48";"CORRETIVA"
"6476068";"SIV3D07";"PREVENTIVA"
"6476067";"SIW9C67";"CORRETIVA"
"6476066";"SUE5B41";""
"6476065";"RFA1J18";""
"6476064";"STW7B01";"PREVENTIVA"
"6476063";"SWB1C82";"PREVENTIVA"
"6476062";"ENU9H94";""
"6476061";"CUZ4I57";"PREVENTIVA"
"6476060";"STW7B01";"PREVENTIVA"
"6476059";"TCQ1J07";"CORRETIVA"
"6476058";"RVP9E70";"CRLV"
"6476057";"RUM1E05";"CORRETIVA"
"6476056";"SHJ6A80";"PREVENTIVA"
"6476055";"RUV8I76";"CORRETIVA"
"6476054";"SHC0A97";""
"6476053";"STI2B45";"FURTO/ROUBO ACESSÓRIO"
"6476052";"ESL5A02";"CORRETIVA"
"6476051";"SYP3B52";"PREVENTIVA"
"6476050";"GEQ9F64";"PREVENTIVA"
"6476049";"SYL0E73";"PREVENTIVA"
"6476048";"RFG1B91";"CORRETIVA"
"6476047";"STN6I67";"PREVENTIVA"
"6476046";"EHN8H65";"PREVENTIVA"
"6476045";"SUX4C53";"PREVENTIVA"
"6476044";"SSX8A60";"CORRETIVA"
"6476043";"TCJ1C99";"CORRETIVA"
"6476042";"QMZ5F42";""
"6476041";"TIP6C75";""
"6476040";"SST7J58";"GUINCHO"
"6476039";"SIK2G49";"PREVENTIVA"
"6476038";"RVK4D32";"PREVENTIVA"
"6476037";"SYP7G23";"CORRETIVA"
"6476036";"RNP8H22";"RASTREADOR RETIRADA"
"6476035";"FCX1H24";"CORRETIVA"
"6476034";"SIG4D95";"CORRETIVA"
"6476033";"SST7D62";"PREVENTIVA"
"6476032";"FQH8A33";"CORRETIVA"
"6476031";"SYY0H99";"PREVENTIVA"
"6476030";"STO2I77";""
"6476029";"RNP8H22";"DESMOBILIZAÇÃO"
"6476028";"SUU1F21";"CORRETIVA"
"6476027";"SHO5B97";"CORRETIVA"
"6476026";"STE6F80";"CORRETIVA"
"6476025";"SYP3C46";"PREVENTIVA"
"6476024";"SIU2D37";"RASTREADOR RETIRADA"
"6476023";"SSU1H45";"RASTREADOR RETIRADA"
"6476022";"ENI8G94";"RASTREADOR RETIRADA"
"6476021";"SHH2G86";""
"6476020";"SIU2D37";"DESMOBILIZAÇÃO"
"6476019";"EBX5H24";"CORRETIVA"
"6476018";"SSU1H45";"DESMOBILIZAÇÃO"
"6476017";"ENI8G94";"DESMOBILIZAÇÃO"
"6476016";"SUP7F45";"CORRETIVA"
"6476015";"SSU2F80";"FURTO/ROUBO ACESSÓRIO"
"6476014";"FPD6E34";""
"6476013";"EZP5D81";""
"6476012";"RUL2C70";"PREVENTIVA"
"6476011";"RNS9C41";"CORRETIVA"
"6476010";"FUD7E14";"CORRETIVA"
"6476009";"RVU3G31";"CORRETIVA"
"6476008";"FVJ5H91";"CORRETIVA"
"6476007";"STI7J56";"CORRETIVA"
"6476006";"ESL5A02";""
"6476005";"FVJ5H91";"CORRETIVA"
"6476004";"CUY6J99";"CHAVE RESERVA"
"6476003";"STH0H95";""
"6476002";"EDY6H81";"PREVENTIVA"
"6476001";"SSX1J33";"CORRETIVA"
"6476000";"SIW1J44";"PREVENTIVA"
"6475999";"FWV6J82";"CORRETIVA"
"6475998";"SSX1J33";"CORRETIVA"
"6475997";"FUW6A42";"PREVENTIVA"
"6475994";"RVF4E60";"GUINCHO"
"6475993";"SHH2G86";""
"6475992";"FQW1E81";"CORRETIVA"
"6475991";"FRU6J03";""
"6475990";"RVV0I25";""
"6475989";"SIG8I96";"RASTREADOR RETIRADA"
"6475988";"EPA1C95";"PREVENTIVA"
"6475987";"SIW1J44";""
"6475986";"SYN7F41";"CORRETIVA"
"6475985";"STO0C72";"PREVENTIVA"
"6475984";"PVR4E51";"PREVENTIVA"
"6475983";"EPA1C95";"PREVENTIVA"
"6475982";"EPA1C95";"PREVENTIVA"
"6475981";"SIG8I96";"DESMOBILIZAÇÃO"
"6475980";"EPA1C95";"PREVENTIVA"
"6475979";"EPA1C95";"PREVENTIVA"
"6475978";"SYT6J92";"PREVENTIVA"
"6475977";"EPA1C95";"PREVENTIVA"
"6475976";"TCP3H35";"PREVENTIVA"
"6475975";"ERR9F24";"CORRETIVA"
"6475974";"SIX4J85";""
"6475973";"ELR1J12";"GUINCHO"
"6475972";"FUD7E14";""
"6475971";"SIG0D18";"PREVENTIVA"
"6475970";"STZ4E14";"PREVENTIVA"
"6475969";"RUG9H61";"SINISTRO"
"6475968";"RNF5I08";"CORRETIVA"
"6475967";"SSV8I32";"PREVENTIVA"
"6475966";"SYE1F95";"PREVENTIVA"
"6475965";"SSX1J33";"CORRETIVA"
"6475964";"SYF0B45";"PREVENTIVA"
"6475963";"EDI1G81";"PREVENTIVA"
"6475962";"ENI1E64";"CORRETIVA"
"6475961";"SIG8I59";"RASTREADOR RETIRADA"
"6475960";"STL6B91";"CORRETIVA"
"6475959";"SYG8A15";"PREVENTIVA"
"6475958";"SIG8I59";"DESMOBILIZAÇÃO"
"6475957";"SSV8I32";"CORRETIVA"
"6475956";"SSY3D53";""
"6475955";"RMP2C53";"GUINCHO"
"6475954";"QUS2C42";"CORRETIVA"
"6475953";"CUT8E47";""
"6475952";"TCF3I26";"PREVENTIVA"
"6475951";"EIS1B76";"CORRETIVA"
"6475950";"STS2H91";"GUINCHO"
"6475949";"ELR1J12";""
"6475948";"SJB3A76";"PREVENTIVA"
"6475947";"SST5I83";"PREVENTIVA"
"6475946";"QMZ4C72";"PREVENTIVA"
"6475945";"RVT6E50";"CORRETIVA"
"6475943";"TIY3F36";"GUINCHO"
"6475942";"STN8D02";"PREVENTIVA"
"6475941";"CUT8E47";""
"6475940";"STL9D53";"CORRETIVA"
"6475939";"SIG0C49";"CORRETIVA"
"6475938";"OPP0C69";"PREVENTIVA"
"6475937";"SUO4D24";""
"6475936";"RVU9B90";"GUINCHO"
"6475935";"CVI5G48";"CORRETIVA"
"6475934";"SHE9F03";"CORRETIVA"
"6475933";"RVH3F57";"SINISTRO"
"6475932";"SYO9F11";"CORRETIVA"
"6475931";"SIG0E46";"PREVENTIVA"
"6475930";"QQS6476";"CORRETIVA"
"6475929";"STM3B93";"O.S Rápida"
"6475928";"SUS0I65";"O.S Rápida"
"6475927";"TCI1A31";"PREVENTIVA"
"6475926";"RNK2I67";"PREVENTIVA"
"6475925";"RMZ9F28";"CORRETIVA"
"6475924";"QMV4D57";"CORRETIVA"
"6475923";"SIW0G94";""
"6475922";"RVK6J20";"CORRETIVA"
"6475921";"STP5F34";"O.S Rápida"
"6475920";"SHG2G51";"CORRETIVA"
"6475919";"GHL6C75";"PREVENTIVA"
"6475918";"RMZ9F28";"CORRETIVA"
"6475917";"ECZ7C66";"PREVENTIVA"
"6475916";"RVJ2C65";"CORRETIVA"
"6475915";"ECU5H92";"RASTREADOR RETIRADA"
"6475914";"EUR8G52";"RASTREADOR RETIRADA"
"6475913";"FGL1D83";"RASTREADOR RETIRADA"
"6475912";"FCR6H54";""
"6475911";"FGL1D83";"DESMOBILIZAÇÃO"
"6475910";"SIE8F97";"PREVENTIVA"
"6475909";"EUR8G52";"DESMOBILIZAÇÃO"
"6475908";"ECU5H92";"DESMOBILIZAÇÃO"
"6475907";"SIF8F16";"CORRETIVA"
"6475906";"TDL4H37";"CORRETIVA"
"6475905";"FZV2E81";"CORRETIVA"
"6475904";"RNR9I27";"PREVENTIVA"
"6475903";"SVK6B91";"CORRETIVA"
"6475902";"STQ6F02";""
"6475901";"FXM3E61";"PREVENTIVA"
"6475900";"RVN4F82";"PREVENTIVA"
"6475899";"SYZ2G85";"CORRETIVA"
"6475898";"SSY2I40";"SINISTRO"
"6475897";"EJD1D64";"RASTREADOR RETIRADA"
"6475896";"SVY8J03";"CORRETIVA"
"6475895";"FYG3J72";"RASTREADOR RETIRADA"
"6475894";"FWF0G83";"RASTREADOR RETIRADA"
"6475893";"FYK6I63";"PREVENTIVA"
"6475892";"RFU2A74";"PREVENTIVA"
"6475891";"SUW4H40";"CORRETIVA"
"6475890";"FUF1J91";"PREVENTIVA"
"6475889";"EJD1D64";"DESMOBILIZAÇÃO"
"6475888";"FYG3J72";"DESMOBILIZAÇÃO"
"6475887";"FWF0G83";"DESMOBILIZAÇÃO"
"6475886";"CQU2B31";"PREVENTIVA"
"6475885";"TIO6F89";""
"6475884";"FYI3B06";"VISTORIA DE DESMOBILIZAÇÃO"
"6475883";"TCX0F68";"SINISTRO"
"6475882";"EOC7E43";"RASTREADOR RETIRADA"
"6475881";"ENI4E63";"RASTREADOR RETIRADA"
"6475880";"SHF0E55";"PREVENTIVA"
"6475879";"EVU2E51";"RASTREADOR RETIRADA"
"6475878";"EOC7E43";"DESMOBILIZAÇÃO"
"6475877";"FYI3B06";"DESMOBILIZAÇÃO"
"6475876";"RMF9B11";"PREVENTIVA"
"6475875";"ENI4E63";"DESMOBILIZAÇÃO"
"6475874";"EVU2E51";"DESMOBILIZAÇÃO"
"6475873";"RMY9B56";"CORRETIVA"
"6475872";"FCF0I53";"PREVENTIVA"
"6475871";"TDF0D49";""
"6475870";"SYG5B61";"PREVENTIVA"
"6475869";"SWH1J89";"PREVENTIVA"
"6475868";"FCA9I41";"PREVENTIVA"
"6475867";"TCN3J54";"CORRETIVA"
"6475866";"SWG1G28";"CORRETIVA"
"6475865";"RMD3A48";"CORRETIVA"
"6475864";"SUC6D47";""
"6475863";"EUR8D14";"CORRETIVA"
"6475862";"FZV2E81";"PREVENTIVA"
"6475861";"TKQ5F73";"CORRETIVA"
"6475860";"FNM8A61";"CORRETIVA"
"6475859";"TCJ8I61";"PREVENTIVA"
"6475858";"TCJ1C94";"PREVENTIVA"
"6475857";"EQA8G93";"GUINCHO"
"6475856";"STX3H14";""
"6475855";"SUG7I39";""
"6475854";"EQO0G72";"PREVENTIVA"
"6475852";"FCC7H81";"FURTO/ROUBO VEÍCULO"
"6475851";"RVD7B17";"CORRETIVA"
"6475850";"RNJ0H74";"CORRETIVA"
"6475849";"EPA1C95";"PREVENTIVA"
"6475848";"SWH1J89";""
"6475847";"CUR7A49";"PREVENTIVA"
"6475846";"CUR7A49";"PREVENTIVA"
"6475845";"RMZ9F28";""
"6475844";"SWL8J02";""
"6475843";"RMZ9F28";""
"6475842";"EHG3C05";"CORRETIVA"
"6475841";"STI0G91";"CORRETIVA"
"6475840";"TCB3G66";"CORRETIVA"
"6475839";"SHE6F81";"CORRETIVA"
"6475838";"RVH4C81";"PREVENTIVA"
"6475837";"EHR3C21";""
"6475836";"SIN7H21";"CORRETIVA"
"6475835";"EQA8G93";""
"6475834";"TJR5I36";"CORRETIVA"
"6475833";"DOU9J63";""
"6475832";"SUD1H89";"GUINCHO"
"6475831";"CUT7H19";"PREVENTIVA"
"6475830";"TIO6F89";""
"6475829";"SJB3B80";"SINISTRO"
"6475828";"SJB3B80";"PREVENTIVA"
"6475827";"EQA8G93";""
"6475826";"SUO4D24";""
"6475825";"SVG1G55";"CORRETIVA"
"6475824";"FPD6B92";"CORRETIVA"
"6475823";"SUM5J82";"PREVENTIVA"
"6475822";"FPO7D62";"CORRETIVA"
"6475821";"CUP8I10";"PREVENTIVA"
"6475820";"STF6F90";"PREVENTIVA"
"6475819";"FYJ5D61";"CORRETIVA"
"6475818";"TDI6C45";"CORRETIVA"
"6475817";"RNJ8G22";"PREVENTIVA"
"6475816";"SHM3H85";"DESMOBILIZAÇÃO"
"6475815";"SHM3H85";"RASTREADOR RETIRADA"
"6475814";"SYW0G39";"CORRETIVA"
"6475813";"EXV0E81";"CORRETIVA"
"6475812";"SUG2F31";"PREVENTIVA"
"6475811";"ESJ9H25";"SINISTRO"
"6475810";"SUI8C22";""
"6475809";"STI4I20";"FURTO/ROUBO ACESSÓRIO"
"6475808";"TCJ3C21";"PREVENTIVA"
"6475807";"TJK8A84";"PREVENTIVA"
"6475806";"SJD4J72";"PREVENTIVA"
"6475805";"SVI0G05";"CORRETIVA"
"6475804";"TDE0C89";"CORRETIVA"
"6475803";"SYG8I71";"PREVENTIVA"
"6475802";"ELR1J12";""
"6475801";"STH7F46";"PREVENTIVA"
"6475800";"TDD1E87";""
"6475799";"GJV3C71";"CORRETIVA"
"6475798";"GAI0G82";"GUINCHO"
"6475797";"FWP7J13";"GUINCHO"
"6475796";"SIA7J03";"CORRETIVA"
"6475795";"TCJ0G90";"CORRETIVA"
"6475794";"RNJ0H71";"CORRETIVA"
"6475793";"EVV9D72";"SINISTRO"
"6475792";"FDR6A01";"FURTO/ROUBO ACESSÓRIO"
"6475791";"SVB9I90";"PREVENTIVA"
"6475790";"FDR6A01";""
"6475789";"SJH0F16";"PREVENTIVA"
"6475788";"FWP7J13";""
"6475787";"RXL1A23";"GUINCHO"
"6475785";"SUC6D47";"GUINCHO"
"6475784";"STL0A80";""
"6475783";"STL0A80";""
"6475782";"SVD3B87";"GUINCHO"
"6475781";"SSR9I15";""
"6475780";"FMY8J12";"PREVENTIVA"
"6475779";"FMY8J12";"PREVENTIVA"
"6475778";"FMY8J12";"PREVENTIVA"
"6475777";"SYE1D76";"GUINCHO"
"6475776";"TJH4C77";"GUINCHO"
"6475775";"SYE1D76";""
"6475774";"EGQ0I71";""
"6475773";"SST0F90";"FURTO/ROUBO VEÍCULO"
"6475772";"SVE1F11";"PREVENTIVA"
"6475771";"SUX5J66";""
"6475770";"TLG9H03";""
"6475769";"TLG9H03";""
"6475768";"SVA9B92";""
"6475767";"SSX0C01";"GUINCHO"
"6475766";"SHH2G86";"GUINCHO"
"6475765";"EQY3F41";""
"6475764";"TDB0E29";"FURTO/ROUBO VEÍCULO"
"6475763";"SHH2G86";""
"6475762";"TLL9G35";""
"6475761";"FAJ4C11";""
"6475760";"SVX0F62";"GUINCHO"
"6475759";"SUU3G01";""
"6475758";"SVX0F62";""
"6475757";"TME6I47";"CORRETIVA"
"6475756";"TME6I47";"CORRETIVA"
"6475755";"TME6I47";"CORRETIVA"
"6475754";"TCJ6C41";"SINISTRO"
"6475753";"RTT8E13";"CORRETIVA"
"6475752";"RTT8E13";""
"6475751";"RTT8E13";"CORRETIVA"
"6475750";"SUL3E52";""
"6475749";"RTT8E13";"CORRETIVA"
"6475748";"SUR5E41";""
"6475747";"EZL2A91";""
"6475746";"FQO1D72";""
"6475745";"TIV3B81";""
"6475743";"STK3E73";""
"6475742";"STN3E52";""
"6475741";"GDV2B83";""
"6475740";"FOD1G84";"GUINCHO"
"6475739";"SUD8E15";""
"6475738";"TCB7D74";"PREVENTIVA"
"6475737";"ETU5J61";"PREVENTIVA"
"6475736";"SIX4J58";""
"6475735";"RMR0B23";""
"6475734";"CKU3B02";""
"6475733";"TJU3H64";""
"6475732";"TIY8G62";""
"6475731";"RNJ0E28";"CORRETIVA"
"6475730";"FJP9C82";"CORRETIVA"
"6475729";"GID5A42";""
"6475728";"PVR1E59";"PREVENTIVA"
"6475727";"SIJ8C00";""
"6475726";"SYF9C82";"PREVENTIVA"
"6475725";"RNJ0E28";""
"6475724";"SYE1F23";""
"6475723";"RVK9G83";""
"6475722";"SSR0B14";""
"6475721";"TCS6C11";""
"6475720";"RNJ9B94";"GUINCHO"
"6475719";"SYF9C82";"PREVENTIVA"
"6475718";"SVR1E21";""
"6475717";"TLJ3B25";"GUINCHO"
"6475716";"TKO2D43";""
"6475714";"TJX4E84";""
"6475713";"SVV8C45";""
"6475712";"STD7G91";""
"6475711";"TDE0C89";""
"6475710";"SSZ4J83";""
"6475709";"TLJ3B25";""
"6475708";"RNJ0E28";"CORRETIVA"
"6475707";"SIZ1H70";""
"6475705";"QMY9J54";""
"6475704";"SYE0J08";""
"6475703";"STD7G91";""
"6475702";"STN2H65";""
"6475701";"SYP1C35";"PREVENTIVA"
"6475700";"SYP1C35";"PREVENTIVA"
"6475699";"EWV6H23";""
"6475698";"SYP1C35";"PREVENTIVA"
"6475697";"SYP1C35";"PREVENTIVA"
"6475696";"SYU8H37";"PREVENTIVA"
"6475695";"SYU8H37";"PREVENTIVA"
"6475694";"SYU8H37";"PREVENTIVA"
"6475693";"GAO1I43";"PREVENTIVA"
"6475692";"SYU8H37";"PREVENTIVA"
"6475691";"SYU8H37";"PREVENTIVA"
"6475690";"RNJ0E28";"CORRETIVA"
"6475689";"SYU8H37";"PREVENTIVA"
"6475688";"SUJ2G81";"CORRETIVA"
"6475687";"SYU9G47";""
"6475686";"SUY7F85";""
"6475685";"TCN3I06";""
"6475684";"STD7G91";"GUINCHO"
"6475683";"EKH0G72";""
"6475682";"SWH4H05";"CORRETIVA"
"6475681";"SUX7C23";"FURTO/ROUBO VEÍCULO"
"6475680";"QQS4084";"CORRETIVA"
"6475679";"SYE5A39";""
"6475678";"TLN6A28";""
"6475677";"SYP2C77";""
"6475676";"SHT7G20";""
"6475675";"STD7G91";""
"6475674";"SIR7G72";"GUINCHO"
"6475673";"SIY3E61";""
"6475672";"RVW8C36";"CORRETIVA"
"6475671";"SSV8B28";""
"6475670";"EEI0G62";"GUINCHO"
"6475669";"CUO3B99";"SINISTRO"
"6475668";"FJS8G91";"SINISTRO"
"6475667";"SYA0B66";""
"6475666";"TCU5D58";""
"6475665";"SUI5J12";""
"6475664";"TLA8H07";""
"6475663";"SYG7J53";"PREVENTIVA"
"6475662";"STZ2I81";"PREVENTIVA"
"6475661";"SYW0G52";"PREVENTIVA"
"6475660";"SSS0H24";""
"6475659";"SJB7C96";""
"6475658";"STZ5J02";"PREVENTIVA"
"6475657";"EKU6H42";""
"6475656";"GFS6C53";"CORRETIVA"
"6475655";"FUB3B02";""
"6475654";"TDL4H37";""
"6475653";"SYF9C34";"CORRETIVA"
"6475652";"SYF9C34";"PREVENTIVA"
"6475651";"SYP1I35";"CORRETIVA"
"6475650";"FOS7I93";"CORRETIVA"
"6475649";"RUY9H03";"GUINCHO"
"6475648";"SSU9F96";""
"6475647";"EOD4C04";"GUINCHO"
"6475645";"RMY9B15";"CORRETIVA"
"6475644";"FDV9I52";""
