"Atendimento";"Placa";"Motivo OS"
"6481957";"RUT5J59";"GUINCHO"
"6481956";"ENU1D61";""
"6481955";"SIR5I50";"CORRETIVA"
"6481954";"SYT0A14";"SINISTRO"
"6481952";"STO3A70";""
"6481951";"SUG2D01";""
"6481950";"SIW9D29";"GUINCHO"
"6481949";"SSY0E94";""
"6481948";"SSY2E32";"PREVENTIVA"
"6481947";"SWK9I06";"PREVENTIVA"
"6481945";"TDA0I70";"PREVENTIVA"
"6481944";"SIG1A26";"CORRETIVA"
"6481943";"OPP9C70";"PREVENTIVA"
"6481942";"SYY7G86";"CORRETIVA"
"6481941";"ENU1D61";"PREVENTIVA"
"6481940";"TLD9F99";"PREVENTIVA"
"6481939";"TDK0B44";"CORRETIVA"
"6481938";"FHR5I24";"SINISTRO"
"6481937";"FHR5I24";"SINISTRO"
"6481936";"FHR5I24";"CORRETIVA"
"6481935";"RUK0E90";"CORRETIVA"
"6481934";"FPI8F31";"CORRETIVA"
"6481933";"TCP4J60";"PREVENTIVA"
"6481932";"SVO8E80";"GUINCHO"
"6481931";"RUK0E90";"CORRETIVA"
"6481930";"STQ1G70";""
"6481929";"SYE1H67";"CORRETIVA"
"6481928";"SYP1B85";"GUINCHO"
"6481927";"SSR2B40";"CORRETIVA"
"6481926";"SJA3E59";"CORRETIVA"
"6481925";"RVX5A49";"RASTREADOR RETIRADA"
"6481924";"FCT5J81";"GUINCHO"
"6481923";"FPJ5J01";""
"6481922";"TDB0A81";""
"6481921";"RVX5A49";"DESMOBILIZAÇÃO"
"6481920";"EOA4G65";"CORRETIVA"
"6481919";"SWQ8C23";""
"6481918";"SUU2B60";""
"6481917";"TLD9F99";""
"6481916";"CQU9J32";"PREVENTIVA"
"6481915";"FYA4H24";"CORRETIVA"
"6481914";"SUG2C64";"PREVENTIVA"
"6481913";"SYS9G36";"PREVENTIVA"
"6481912";"TCT0B21";""
"6481911";"GFJ2A52";""
"6481910";"STQ1G70";"PREVENTIVA"
"6481909";"TKS9H29";""
"6481908";"FCK5F02";"PREVENTIVA"
"6481907";"SWC6I81";"PREVENTIVA"
"6481906";"STE2C91";"CORRETIVA"
"6481905";"SWF1I54";"GUINCHO"
"6481904";"EQK0J32";""
